episode,reward,loss
169,151.0,25.130740192552278
170,156.0,26.501235239016705
171,168.0,21.798071783213388
172,89.0,21.778853467341218
173,69.0,23.260394835817642
174,207.0,27.948863742432156
175,193.0,25.452241470159027
176,53.0,28.96828087995637
177,161.0,25.681445279476804
178,238.0,22.09862988886713
179,223.0,23.21179506490049
180,153.0,22.326443260791255
181,21.0,19.876880912553695
182,165.0,18.771028662450387
183,160.0,18.28211517184973
184,211.0,18.12714262200758
185,128.0,12.416983074508607
186,191.0,16.438879194059922
187,224.0,17.890404173306056
188,147.0,16.10966094091636
189,155.0,22.130245701728327
190,195.0,19.17951531838148
191,83.0,20.685889667775257
192,215.0,20.72225067338278
193,124.0,16.811210768838084
194,179.0,13.81910383634727
195,239.0,11.272725425754132
196,335.0,14.56709046096944
197,190.0,8.321422432598315
198,158.0,15.377187144152726
199,131.0,20.170169835327236
